Record #:  1
Notes :
gain 6 zorye running

12/11/20259:37:55 pm
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
84.525824E-3	5.295467E-3	12.003851E-3	-369.958639E-3	-400.000000E-3	220.246649E-3	104.263353E-3	-400.000000E-3
84.528875E-3	5.295324E-3	11.996078E-3	-369.945955E-3	-400.000000E-3	220.252085E-3	104.268837E-3	-400.000000E-3
84.530735E-3	5.284500E-3	11.995268E-3	-369.932365E-3	-400.000000E-3	220.267057E-3	104.279423E-3	-400.000000E-3
84.530258E-3	5.279684E-3	11.973763E-3	-369.967175E-3	-400.000000E-3	220.233250E-3	104.246092E-3	-400.000000E-3
84.531450E-3	5.288744E-3	11.974096E-3	-370.012283E-3	-400.000000E-3	220.186615E-3	104.201221E-3	-400.000000E-3
84.533930E-3	5.291176E-3	11.977720E-3	-370.010567E-3	-400.000000E-3	220.181656E-3	104.197788E-3	-400.000000E-3
84.536028E-3	5.293465E-3	11.981535E-3	-369.974184E-3	-400.000000E-3	220.206642E-3	104.228115E-3	-400.000000E-3
84.539938E-3	5.289316E-3	12.003326E-3	-369.942236E-3	-400.000000E-3	220.226336E-3	104.251862E-3	-400.000000E-3
84.545851E-3	5.290651E-3	12.029600E-3	-369.951296E-3	-400.000000E-3	220.208406E-3	104.235315E-3	-400.000000E-3
84.550571E-3	5.285692E-3	12.021685E-3	-369.969893E-3	-400.000000E-3	220.186996E-3	104.216719E-3	-400.000000E-3
84.550285E-3	5.286455E-3	12.025833E-3	-369.957781E-3	-400.000000E-3	220.200443E-3	104.230547E-3	-400.000000E-3
84.549141E-3	5.282688E-3	12.025881E-3	-369.952250E-3	-400.000000E-3	220.203447E-3	104.229736E-3	-400.000000E-3
84.546757E-3	5.282021E-3	12.016821E-3	-369.961548E-3	-400.000000E-3	220.190048E-3	104.218912E-3	-400.000000E-3
84.543943E-3	5.272675E-3	12.002897E-3	-369.952011E-3	-400.000000E-3	220.187569E-3	104.226208E-3	-400.000000E-3
84.542513E-3	5.259705E-3	11.987400E-3	-369.914961E-3	-400.000000E-3	220.214796E-3	104.259872E-3	-400.000000E-3
84.540701E-3	5.265856E-3	11.976957E-3	-369.869041E-3	-400.000000E-3	220.251369E-3	104.304266E-3	-400.000000E-3
84.540462E-3	5.272865E-3	11.982536E-3	-369.887590E-3	-400.000000E-3	220.231676E-3	104.291391E-3	-400.000000E-3
84.539795E-3	5.273581E-3	11.987019E-3	-369.892406E-3	-400.000000E-3	220.230532E-3	104.296637E-3	-400.000000E-3
84.538507E-3	5.281353E-3	12.012005E-3	-369.864511E-3	-400.000000E-3	220.260239E-3	104.332256E-3	-400.000000E-3
84.538984E-3	5.282211E-3	12.053537E-3	-369.859886E-3	-400.000000E-3	220.267391E-3	104.341888E-3	-400.000000E-3
84.539843E-3	5.278158E-3	12.067842E-3	-369.890404E-3	-400.000000E-3	220.230007E-3	104.309320E-3	-400.000000E-3
84.539127E-3	5.269003E-3	12.073183E-3	-369.902802E-3	-400.000000E-3	220.205498E-3	104.285383E-3	-400.000000E-3
84.537172E-3	5.249882E-3	12.073660E-3	-369.897795E-3	-400.000000E-3	220.198917E-3	104.283857E-3	-400.000000E-3
84.534359E-3	5.235863E-3	12.065792E-3	-369.848680E-3	-400.000000E-3	220.236349E-3	104.328203E-3	-400.000000E-3
84.532499E-3	5.228186E-3	12.048197E-3	-369.847393E-3	-400.000000E-3	220.235491E-3	104.324627E-3	-400.000000E-3
84.533453E-3	5.218220E-3	12.049437E-3	-369.858646E-3	-400.000000E-3	220.216227E-3	104.306364E-3	-400.000000E-3
84.532976E-3	5.206919E-3	12.046385E-3	-369.881725E-3	-400.000000E-3	220.193577E-3	104.287863E-3	-400.000000E-3
84.534883E-3	5.207491E-3	12.035275E-3	-369.871092E-3	-400.000000E-3	220.205498E-3	104.306507E-3	-400.000000E-3
84.533930E-3	5.208063E-3	12.009764E-3	-369.861603E-3	-400.000000E-3	220.216560E-3	104.321718E-3	-400.000000E-3
84.534740E-3	5.208063E-3	12.002563E-3	-369.897318E-3	-400.000000E-3	220.182133E-3	104.287958E-3	-400.000000E-3
84.535742E-3	5.211115E-3	11.979628E-3	-369.895029E-3	-400.000000E-3	220.180511E-3	104.290199E-3	-400.000000E-3
84.534073E-3	5.216169E-3	11.949873E-3	-369.898415E-3	-400.000000E-3	220.171118E-3	104.280138E-3	-400.000000E-3
84.532404E-3	5.219555E-3	11.925650E-3	-369.928503E-3	-400.000000E-3	220.141363E-3	104.250383E-3	-400.000000E-3
84.532452E-3	5.219460E-3	11.920404E-3	-369.932795E-3	-400.000000E-3	220.136786E-3	104.242039E-3	-400.000000E-3
84.530497E-3	5.215883E-3	11.918354E-3	-369.934130E-3	-400.000000E-3	220.139456E-3	104.235554E-3	-400.000000E-3
84.526443E-3	5.224752E-3	11.909485E-3	-369.968700E-3	-400.000000E-3	220.103216E-3	104.201937E-3	-400.000000E-3
84.525585E-3	5.221510E-3	11.873913E-3	-369.967079E-3	-400.000000E-3	220.098305E-3	104.201746E-3	-400.000000E-3
84.524870E-3	5.216360E-3	11.836195E-3	-369.954062E-3	-400.000000E-3	220.109797E-3	104.216862E-3	-400.000000E-3
84.521103E-3	5.210829E-3	11.826992E-3	-369.944620E-3	-400.000000E-3	220.114517E-3	104.228401E-3	-400.000000E-3
84.517622E-3	5.206728E-3	11.811399E-3	-369.926453E-3	-400.000000E-3	220.131111E-3	104.248619E-3	-400.000000E-3
84.516573E-3	5.199003E-3	11.791897E-3	-369.933462E-3	-400.000000E-3	220.125628E-3	104.246235E-3	-400.000000E-3
84.517431E-3	5.189323E-3	11.785793E-3	-369.965982E-3	-400.000000E-3	220.095205E-3	104.218960E-3	-400.000000E-3
84.515333E-3	5.183649E-3	11.765671E-3	-369.990683E-3	-400.000000E-3	220.072126E-3	104.199696E-3	-400.000000E-3
84.511280E-3	5.176210E-3	11.740351E-3	-369.998932E-3	-400.000000E-3	220.060444E-3	104.185247E-3	-400.000000E-3
84.509659E-3	5.180979E-3	11.720896E-3	-369.980907E-3	-400.000000E-3	220.077944E-3	104.197407E-3	-400.000000E-3
84.509659E-3	5.174351E-3	11.685801E-3	-369.953918E-3	-400.000000E-3	220.107746E-3	104.223919E-3	-400.000000E-3
84.508896E-3	5.165672E-3	11.670637E-3	-369.955683E-3	-400.000000E-3	220.107222E-3	104.220676E-3	-400.000000E-3
84.509087E-3	5.155087E-3	11.682367E-3	-369.995022E-3	-400.000000E-3	220.061970E-3	104.179430E-3	-400.000000E-3
84.508991E-3	5.146885E-3	11.670780E-3	-369.994259E-3	-400.000000E-3	220.061588E-3	104.176903E-3	-400.000000E-3
84.509182E-3	5.141926E-3	11.640501E-3	-369.970989E-3	-400.000000E-3	220.082426E-3	104.193258E-3	-400.000000E-3
84.511185E-3	5.147600E-3	11.641693E-3	-369.967031E-3	-400.000000E-3	220.088053E-3	104.201984E-3	-400.000000E-3
84.511614E-3	5.151176E-3	11.650324E-3	-369.973850E-3	-400.000000E-3	220.077896E-3	104.203176E-3	-400.000000E-3
84.511185E-3	5.149317E-3	11.657763E-3	-369.967747E-3	-400.000000E-3	220.079947E-3	104.212713E-3	-400.000000E-3
84.511948E-3	5.142879E-3	11.664200E-3	-369.974613E-3	-400.000000E-3	220.074463E-3	104.208994E-3	-400.000000E-3
84.513140E-3	5.147409E-3	11.672258E-3	-369.995880E-3	-400.000000E-3	220.053148E-3	104.186583E-3	-400.000000E-3
84.515285E-3	5.149508E-3	11.660051E-3	-369.985390E-3	-400.000000E-3	220.064116E-3	104.200983E-3	-400.000000E-3
84.516335E-3	5.148792E-3	11.650801E-3	-369.974804E-3	-400.000000E-3	220.070934E-3	104.211617E-3	-400.000000E-3
84.515142E-3	5.152225E-3	11.669827E-3	-369.973946E-3	-400.000000E-3	220.073032E-3	104.212379E-3	-400.000000E-3
84.515715E-3	5.145645E-3	11.662292E-3	-369.959927E-3	-400.000000E-3	220.083427E-3	104.223919E-3	-400.000000E-3
84.516716E-3	5.145121E-3	11.651659E-3	-369.978619E-3	-400.000000E-3	220.064354E-3	104.208136E-3	-400.000000E-3
84.515238E-3	5.156660E-3	11.661005E-3	-370.013571E-3	-400.000000E-3	220.033598E-3	104.178667E-3	-400.000000E-3
84.511805E-3	5.167294E-3	11.637306E-3	-370.040751E-3	-400.000000E-3	220.009756E-3	104.156733E-3	-400.000000E-3
84.509850E-3	5.167770E-3	11.602259E-3	-370.025063E-3	-400.000000E-3	220.031881E-3	104.178858E-3	-400.000000E-3
84.509420E-3	5.169821E-3	11.565638E-3	-370.046711E-3	-400.000000E-3	220.013285E-3	104.166317E-3	-400.000000E-3
84.510231E-3	5.169010E-3	11.508751E-3	-370.072460E-3	-400.000000E-3	219.992685E-3	104.147816E-3	-400.000000E-3
84.509277E-3	5.163574E-3	11.452341E-3	-370.088911E-3	-400.000000E-3	219.982290E-3	104.133558E-3	-400.000000E-3
84.509516E-3	5.162287E-3	11.420536E-3	-370.127344E-3	-400.000000E-3	219.949055E-3	104.094934E-3	-400.000000E-3
84.509659E-3	5.173254E-3	11.353207E-3	-370.191193E-3	-400.000000E-3	219.888258E-3	104.036760E-3	-400.000000E-3
84.510946E-3	5.199909E-3	11.287117E-3	-370.254612E-3	-400.000000E-3	219.832325E-3	103.980446E-3	-400.000000E-3
84.510374E-3	5.230093E-3	11.264896E-3	-370.305920E-3	-400.000000E-3	219.790649E-3	103.939056E-3	-400.000000E-3
84.506750E-3	5.235577E-3	11.292839E-3	-370.371151E-3	-400.000000E-3	219.729710E-3	103.877449E-3	-400.000000E-3
84.502506E-3	5.243874E-3	11.404705E-3	-370.362186E-3	-400.000000E-3	219.741821E-3	103.884745E-3	-400.000000E-3
84.501553E-3	5.266094E-3	11.564398E-3	-370.261765E-3	-400.000000E-3	219.851112E-3	103.986120E-3	-400.000000E-3
84.502220E-3	5.281973E-3	11.752176E-3	-370.152903E-3	-400.000000E-3	219.968700E-3	104.097319E-3	-400.000000E-3
84.504557E-3	5.314398E-3	12.006426E-3	-370.067072E-3	-400.000000E-3	220.068121E-3	104.190588E-3	-400.000000E-3
84.504795E-3	5.326176E-3	12.277031E-3	-369.949532E-3	-400.000000E-3	220.199060E-3	104.321194E-3	-400.000000E-3
84.504271E-3	5.346441E-3	12.524176E-3	-369.820976E-3	-400.000000E-3	220.332527E-3	104.452085E-3	-400.000000E-3
84.503365E-3	5.387163E-3	12.727833E-3	-369.700289E-3	-400.000000E-3	220.458984E-3	104.577971E-3	-400.000000E-3
84.502029E-3	5.400848E-3	12.921810E-3	-369.610739E-3	-400.000000E-3	220.554924E-3	104.678679E-3	-400.000000E-3
84.504509E-3	5.374098E-3	12.990856E-3	-369.525146E-3	-400.000000E-3	220.638275E-3	104.765034E-3	-400.000000E-3
84.505749E-3	5.344820E-3	12.867260E-3	-369.554806E-3	-400.000000E-3	220.611858E-3	104.735708E-3	-400.000000E-3
84.504938E-3	5.252314E-3	12.651062E-3	-369.612932E-3	-400.000000E-3	220.557261E-3	104.678679E-3	-400.000000E-3
84.505415E-3	5.132389E-3	12.415361E-3	-369.669533E-3	-400.000000E-3	220.507526E-3	104.629660E-3	-400.000000E-3
84.501839E-3	5.013180E-3	12.242365E-3	-369.726610E-3	-400.000000E-3	220.456123E-3	104.579830E-3	-400.000000E-3
84.500074E-3	4.918575E-3	12.059164E-3	-369.784355E-3	-400.000000E-3	220.401478E-3	104.522133E-3	-400.000000E-3
84.498453E-3	4.889250E-3	11.883307E-3	-369.847202E-3	-400.000000E-3	220.338726E-3	104.455471E-3	-400.000000E-3
84.499884E-3	4.920435E-3	11.828327E-3	-369.894838E-3	-400.000000E-3	220.295858E-3	104.409409E-3	-400.000000E-3
84.499359E-3	4.975414E-3	11.837387E-3	-369.902706E-3	-400.000000E-3	220.289087E-3	104.403162E-3	-400.000000E-3
84.499931E-3	5.023336E-3	11.837864E-3	-369.910765E-3	-400.000000E-3	220.280075E-3	104.394293E-3	-400.000000E-3
84.499502E-3	5.091524E-3	11.790085E-3	-369.980907E-3	-400.000000E-3	220.213890E-3	104.323196E-3	-400.000000E-3
84.498549E-3	5.152273E-3	11.692953E-3	-370.047617E-3	-400.000000E-3	220.154428E-3	104.259205E-3	-400.000000E-3
84.498882E-3	5.185270E-3	11.596251E-3	-370.113850E-3	-400.000000E-3	220.095539E-3	104.195642E-3	-400.000000E-3
84.499598E-3	5.217409E-3	11.601830E-3	-370.123386E-3	-400.000000E-3	220.092487E-3	104.189539E-3	-400.000000E-3
84.502983E-3	5.227184E-3	11.598492E-3	-370.149374E-3	-400.000000E-3	220.066929E-3	104.162121E-3	-400.000000E-3
84.507942E-3	5.222940E-3	11.565018E-3	-370.180559E-3	-400.000000E-3	220.035315E-3	104.124212E-3	-400.000000E-3
84.514093E-3	5.195093E-3	11.551523E-3	-370.186996E-3	-400.000000E-3	220.032263E-3	104.114819E-3	-400.000000E-3
84.516335E-3	5.175018E-3	11.547804E-3	-370.197868E-3	-400.000000E-3	220.026350E-3	104.103899E-3	-400.000000E-3
84.518194E-3	5.168152E-3	11.537075E-3	-370.224905E-3	-400.000000E-3	220.004034E-3	104.074860E-3	-400.000000E-3
84.519815E-3	5.168867E-3	11.541653E-3	-370.217419E-3	-400.000000E-3	220.010233E-3	104.075623E-3	-400.000000E-3
84.522820E-3	5.168819E-3	11.541462E-3	-370.179510E-3	-400.000000E-3	220.046091E-3	104.103088E-3	-400.000000E-3
84.520340E-3	5.165529E-3	11.539602E-3	-370.181942E-3	-400.000000E-3	220.045614E-3	104.102993E-3	-400.000000E-3
84.515285E-3	5.165958E-3	11.559916E-3	-370.198107E-3	-400.000000E-3	220.031023E-3	104.088163E-3	-400.000000E-3
84.510946E-3	5.174780E-3	11.577892E-3	-370.190477E-3	-400.000000E-3	220.036697E-3	104.088068E-3	-400.000000E-3
